name,id,city,lat,lon,category,created,status,members,join_mode,past_event_count,last_event,last_rsvp
Greater Pittsburgh Datacenter and Cloud Architecture Forum,20081926,Pittsburgh,40.47,-79.95,Tech,2016-06-16 19:25:05,active,62,open,0,,0
Atrial Fibrillation in Pittsburgh - Support Meetup,20074134,Pittsburgh,40.47,-79.95,Health & Wellbeing,2016-06-14 16:18:27,active,4,open,0,,0
"Apartment Investor Mastery (AIM) Pittsburgh, PA",19913103,Pittsburgh,40.47,-79.95,Career & Business,2016-05-03 17:38:03,active,150,open,1,2017-03-01 20:00:00,5
Steel City Revit User Group,8373122,Pittsburgh,40.47,-80.02,Career & Business,2013-05-06 15:52:04,active,123,approval,27,2017-05-18 18:00:00,9
"Run, Jump, Lift, Throw - Functional Fitness Meetup",8642702,Pittsburgh,40.47,-80.02,Fitness,2013-05-25 21:40:06,active,1472,open,136,2017-10-17 18:30:00,10
Peaceburgh,19265012,Pittsburgh,40.47,-80.02,New Age & Spirituality,2016-01-02 17:38:20,active,392,open,18,2017-09-30 20:00:00,2
Friends of the Vine - Pittsburgh,7547522,Pittsburgh,40.47,-80.02,Food & Drink,2013-03-10 10:03:12,active,1066,open,103,2017-11-17 18:30:00,7
Pittsburgh PMI,6413852,Pittsburgh,40.47,-80.02,Tech,2012-12-31 17:31:08,active,50,open,1,2013-01-16 18:30:00,2
Pittsburgh's Other Beer Meetup,18549764,Pittsburgh,40.47,-80.02,Food & Drink,2015-04-15 22:10:51,active,1305,approval,21,2016-11-30 19:00:00,9
Oil In Love with Young Living Essential Oils Meetup,18409001,Pittsburgh,40.47,-80.02,Health & Wellbeing,2015-02-03 17:40:02,active,116,open,1,2015-02-15 14:00:00,7
Reactive Systems Developers Group,2973892,Pittsburgh,40.47,-80.02,Tech,2011-12-20 13:48:30,active,64,open,4,2013-05-15 18:00:00,7
Mon Valley Trailblazers Volkssport Meetup,25786151,Lawrence,40.3,-80.13,Outdoors & Adventure,2017-09-05 14:15:02,active,69,open,9,2018-01-08 18:30:00,1
Frick Park Lawn Bowling Group,1615430,Pittsburgh,40.46,-79.9,Outdoors & Adventure,2010-03-16 10:57:50,active,63,open,170,2017-03-30 19:00:00,1
#UnstuckPgh - free weekly lessons taught by entrepreneurs,18302864,Pittsburgh,40.46,-79.9,Career & Business,2015-01-05 14:37:33,active,1506,open,164,2017-09-18 07:45:00,6
American Preppers Network - Pittsburgh PA,1769638,Pittsburgh,40.47,-79.92,Community & Environment,2011-01-20 17:54:49,active,372,open,66,2016-12-11 13:00:00,3
Pittsburgh Area Accessibility Meetup,9273112,Pittsburgh,40.47,-79.92,Tech,2013-07-08 19:30:42,active,257,open,32,2017-05-20 12:30:00,1
Magical Unicorns of Pittsburgh,19515589,Pittsburgh,40.47,-79.92,Tech,2016-02-05 09:03:15,active,44,open,0,,0
Pittsburgh Metalheads \m/,8918932,Pittsburgh,40.47,-79.92,Music,2013-06-13 19:29:22,active,210,open,98,2017-11-21 20:00:00,1
Pittsburgh Cloud Natives,19303449,Pittsburgh,40.47,-79.92,Tech,2016-01-08 14:27:19,active,188,open,2,2017-02-23 19:30:00,30
Pittsburgh MongoDB User Group,7346582,Pittsburgh,40.47,-79.92,Tech,2013-02-25 17:41:03,active,185,open,13,2017-06-20 08:00:00,1
The Pittsburgh Customer Success Meetup,26507284,Pittsburgh,40.47,-79.92,Tech,2017-11-05 20:12:35,active,12,open,0,,0
Unstructured Play Pittsburgh,25485139,Pittsburgh,40.47,-79.92,Parents & Family,2017-08-14 19:48:39,active,5,approval,1,2017-08-20 11:00:00,1
TurnON Pittsburgh,5469382,Pittsburgh,40.47,-79.92,Education & Learning,2012-10-19 17:10:53,active,291,open,119,2016-03-25 20:00:00,4
Digital Analytics Days,18420979,Pittsburgh,40.47,-79.92,Tech,2015-02-08 20:42:03,active,373,open,4,2016-03-30 18:00:00,33
Steel City Virtual Reality Enthusiasts,18378390,Pittsburgh,40.47,-79.92,Tech,2015-01-25 17:47:23,active,50,open,0,,0
InfoDevPgh,18337705,Pittsburgh,40.47,-79.92,Tech,2015-01-14 21:50:17,active,22,open,0,,0
Curvy Girls Fitness Group,15662762,Pittsburgh,40.47,-79.92,Health & Wellbeing,2014-07-12 11:24:49,active,183,approval,133,2017-04-16 10:00:00,1
"Pittsburgh AutoDesk Inventor & CAD/CAM, study group",14023442,Pittsburgh,40.47,-79.92,Tech,2014-04-21 10:37:30,active,131,open,10,2015-06-16 19:00:00,12
Pittsburgh VR Creators Meetup,21304463,Pittsburgh,40.47,-79.92,Tech,2016-11-28 15:47:36,active,84,open,4,2017-10-24 18:30:00,7
Pittsburgh Health Analytics Meetup Group,21296481,Pittsburgh,40.47,-79.92,Tech,2016-11-27 17:13:48,active,132,approval,4,2017-08-24 17:30:00,13
Pittsburgh Young Survival Coalition Face 2 Face Networking,13437732,Pittsburgh,40.47,-79.92,Support,2014-03-19 14:45:39,active,51,approval,42,2017-11-02 19:00:00,3
Pittsburgh Internet Marketing & SEO Group,970680,Pittsburgh,40.47,-79.92,Tech,2008-01-23 11:43:01,active,797,open,31,2016-07-14 18:00:00,37
I Stand With Standing Rock,20770544,Pittsburgh,40.47,-79.92,Movements & Politics,2016-10-17 11:34:19,active,196,open,21,2017-04-23 15:00:00,1
Pittsburgh Recruiters,13153072,Pittsburgh,40.47,-79.92,Career & Business,2014-03-04 10:53:40,active,108,open,2,2016-01-28 18:30:00,25
Pittsburgh Jazz Fan  Meetup Group,1478004,Pittsburgh,40.47,-79.92,Socializing,2009-06-23 05:16:21,active,1414,open,199,2017-08-19 16:30:00,14
Pittsburgh Weight Loss Meetup - & Have Fun Doing It,20272655,Pittsburgh,40.47,-79.92,Fitness,2016-08-02 17:16:59,active,562,open,14,2018-01-13 10:00:00,1
Pittsburgh Healthy Moms First,20176784,Pittsburgh,40.47,-79.92,Health & Wellbeing,2016-07-12 15:39:03,active,51,open,3,2017-01-28 15:00:00,4
Pittsburgh Natural Health Meetup,19965892,Pittsburgh,40.47,-79.92,Health & Wellbeing,2016-05-17 20:00:51,active,50,open,5,2016-10-08 16:00:00,1
Internet of Things Pittsburgh (#iotpgh),10261932,Pittsburgh,40.47,-79.92,Tech,2013-09-14 14:40:53,active,904,open,11,2017-06-27 11:00:00,24
Pittsburgh Real Estate Investors,4994902,McKeesport,40.33,-79.81,Career & Business,2012-09-18 16:21:12,active,1186,open,53,2017-12-14 19:30:00,23
Garrison Mom support group,19153843,Pittsburgh,40.48,-80.02,Parents & Family,2015-11-25 09:07:06,active,3,open,12,2016-07-24 20:00:00,1
